kind,g,a,c,d_eff,score,status
REAL,0.014084507042253521,1.0,0.006309148264984227,0.0011897251013970257,0.2553958451021587,DENY
SWAP,0.014084507042253521,1.0,0.006309148264984227,0.0011897251013970257,0.2553958451021587,DENY
SHUFFLE,0.014084507042253521,1.0,0.006309148264984227,0.0011897251013970257,0.2553958451021587,DENY
REAL,0.09375,1.0,0.044642857142857144,0.004058441558441559,0.2856128246753247,DENY
SWAP,0.09375,1.0,0.044642857142857144,0.004058441558441559,0.2856128246753247,DENY
SHUFFLE,0.09375,1.0,0.044642857142857144,0.004058441558441559,0.2856128246753247,DENY
REAL,0.02456140350877193,1.0,0.012259194395796848,4.286431606921975e-05,0.2592158655551595,DENY
SWAP,0.02456140350877193,1.0,0.012259194395796848,4.286431606921975e-05,0.2592158655551595,DENY
SHUFFLE,0.02456140350877193,1.0,0.012259194395796848,4.286431606921975e-05,0.2592158655551595,DENY
REAL,0.0,1.0,0.0,0.0,0.25,DENY
SWAP,0.0,1.0,0.0,0.0,0.25,DENY
SHUFFLE,0.0,1.0,0.0,0.0,0.25,DENY
REAL,0.013157894736842105,1.0,0.005934718100890208,0.0010586253909696047,0.2550378095571755,DENY
SWAP,0.013157894736842105,1.0,0.005934718100890208,0.0010586253909696047,0.2550378095571755,DENY
SHUFFLE,0.013157894736842105,1.0,0.005934718100890208,0.0010586253909696047,0.2550378095571755,DENY
REAL,0.8525345622119815,1.0,0.4057017543859649,0.03734493136607209,0.5738953119910046,ABSTAIN
SWAP,0.8525345622119815,1.0,0.4057017543859649,0.03734493136607209,0.5738953119910046,ABSTAIN
SHUFFLE,0.8525345622119815,1.0,0.4057017543859649,0.03734493136607209,0.5738953119910046,ABSTAIN
REAL,0.06611570247933884,0.9834710743801653,0.03333333333333333,0.0005509641873278238,0.27086776859504136,DENY
SWAP,0.06611570247933884,0.9834710743801653,0.03333333333333333,0.0005509641873278238,0.27086776859504136,DENY
SHUFFLE,0.06611570247933884,0.9834710743801653,0.03333333333333333,0.0005509641873278238,0.27086776859504136,DENY
REAL,0.10666666666666667,1.0,0.04892966360856269,0.007463846991136682,0.29076504431659156,DENY
SWAP,0.10666666666666667,1.0,0.04892966360856269,0.007463846991136682,0.29076504431659156,DENY
SHUFFLE,0.10666666666666667,1.0,0.04892966360856269,0.007463846991136682,0.29076504431659156,DENY
REAL,0.06944444444444445,1.0,0.03322259136212625,0.002750915208328925,0.2763544877537249,DENY
SWAP,0.06944444444444445,1.0,0.03322259136212625,0.002750915208328925,0.2763544877537249,DENY
SHUFFLE,0.06944444444444445,1.0,0.03322259136212625,0.002750915208328925,0.2763544877537249,DENY
REAL,0.25225225225225223,1.0,0.10727969348659004,0.02789272030651341,0.34685616651133894,DENY
