kind,g,a,c,r,k,score,status
REAL,0.014085,1.000000,0.006309,0.500000,0.650602,0.434199,DENY
SWAP,0.011429,0.811429,0.006309,0.500000,0.650602,0.395954,DENY
SHUFFLE,0.014085,1.000000,0.006309,0.500000,0.035398,0.311158,DENY
IDENTITY,0.014085,1.000000,0.007042,0.500000,1.000000,0.504225,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.650602,0.430120,DENY
REAL,0.093750,1.000000,0.044643,0.481481,0.632653,0.450505,DENY
SWAP,0.085227,0.909091,0.044643,0.518519,0.632653,0.438027,DENY
SHUFFLE,0.093750,1.000000,0.044643,0.486486,0.032258,0.331427,DENY
IDENTITY,0.093750,1.000000,0.046875,0.500000,1.000000,0.528125,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.632653,0.426531,DENY
REAL,0.024561,1.000000,0.012259,0.489583,0.652174,0.435716,DENY
SWAP,0.024476,0.996503,0.012259,0.510417,0.652174,0.439166,DENY
SHUFFLE,0.024561,1.000000,0.012259,0.492537,0.077519,0.321375,DENY
IDENTITY,0.024561,1.000000,0.012281,0.500000,1.000000,0.507368,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.652174,0.430435,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.477273,0.395455,DENY
SWAP,0.000000,0.725000,0.000000,0.500000,0.477273,0.340455,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.027778,0.305556,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.477273,0.395455,DENY
REAL,0.013158,1.000000,0.005935,0.500000,0.694118,0.442642,DENY
SWAP,0.010811,0.821622,0.005935,0.500000,0.694118,0.406497,DENY
SHUFFLE,0.013158,1.000000,0.005935,0.500000,0.034188,0.310656,DENY
IDENTITY,0.013158,1.000000,0.006579,0.500000,1.000000,0.503947,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.694118,0.438824,DENY
REAL,0.852535,1.000000,0.405702,0.485294,0.460317,0.640770,ABSTAIN
SWAP,0.774059,0.907950,0.405702,0.514706,0.460317,0.612547,ABSTAIN
SHUFFLE,0.852535,1.000000,0.405702,0.275510,0.046980,0.516145,DENY
IDENTITY,0.852535,1.000000,0.426267,0.500000,1.000000,0.755760,ALLOW
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.460317,0.392063,DENY
